"filename", "language", "JSON", "JavaScript", "PHP", "Markdown", "CSS", "XML", "comment", "blank", "total"
"/Users/Emmanuel/Sites/ngm/database/migrations/2023_03_26_020003_create_permission_tables.php", "PHP", 0, 0, 108, 0, 0, 0, 10, 24, 142
"/Users/Emmanuel/Sites/ngm/database/migrations/2023_03_26_021036_create_products_table.php", "PHP", 0, 0, 32, 0, 0, 0, 6, 4, 42
"/Users/Emmanuel/Sites/ngm/database/migrations/2023_03_26_021049_create_sales_table.php", "PHP", 0, 0, 38, 0, 0, 0, 6, 5, 49
"/Users/Emmanuel/Sites/ngm/database/migrations/2023_03_31_123209_create_product_types_table.php", "PHP", 0, 0, 19, 0, 0, 0, 6, 4, 29
"/Users/Emmanuel/Sites/ngm/database/migrations/2023_03_31_123937_create_category_table.php", "PHP", 0, 0, 21, 0, 0, 0, 6, 5, 32
"/Users/Emmanuel/Sites/ngm/database/migrations/2023_03_31_124540_create_posts_table.php", "PHP", 0, 0, 26, 0, 0, 0, 6, 5, 37
"/Users/Emmanuel/Sites/ngm/database/migrations/2023_03_31_125019_create_oxfords_table.php", "PHP", 0, 0, 41, 0, 0, 0, 6, 4, 51
"/Users/Emmanuel/Sites/ngm/database/seeders/DatabaseSeeder.php", "PHP", 0, 0, 12, 0, 0, 0, 9, 6, 27
"/Users/Emmanuel/Sites/ngm/database/seeders/PermissionsDemoSeeder.php", "PHP", 0, 0, 42, 0, 0, 0, 10, 11, 63
"/Users/Emmanuel/Sites/ngm/package-lock.json", "JSON", 1754, 0, 0, 0, 0, 0, 0, 1, 1755
"/Users/Emmanuel/Sites/ngm/package.json", "JSON", 20, 0, 0, 0, 0, 0, 0, 1, 21
"/Users/Emmanuel/Sites/ngm/phpunit.xml", "XML", 0, 0, 0, 0, 0, 29, 2, 1, 32
"/Users/Emmanuel/Sites/ngm/postcss.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 1, 7
"/Users/Emmanuel/Sites/ngm/public/build/assets/about-hero-c6266883.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"/Users/Emmanuel/Sites/ngm/public/build/assets/app-538b603c.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 1, 2
"/Users/Emmanuel/Sites/ngm/public/build/assets/app-87bdef62.js", "JavaScript", 0, 2, 0, 0, 0, 0, 5, 1, 8
"/Users/Emmanuel/Sites/ngm/public/build/assets/fontawesome-webfont-8e358638.svg", "XML", 0, 0, 0, 0, 0, 685, 0, 0, 685
"/Users/Emmanuel/Sites/ngm/public/build/manifest.json", "JSON", 1578, 0, 0, 0, 0, 0, 0, 0, 1578
"/Users/Emmanuel/Sites/ngm/public/index.php", "PHP", 0, 0, 14, 0, 0, 0, 30, 12, 56
"/Users/Emmanuel/Sites/ngm/public/vendor/telescope/app-dark.css", "CSS", 0, 0, 0, 0, 2, 0, 5, 2, 9
"/Users/Emmanuel/Sites/ngm/public/vendor/telescope/app.css", "CSS", 0, 0, 0, 0, 2, 0, 5, 1, 8
"/Users/Emmanuel/Sites/ngm/public/vendor/telescope/app.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1, 0, 2
"/Users/Emmanuel/Sites/ngm/public/vendor/telescope/mix-manifest.json", "JSON", 5, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/Emmanuel/Sites/ngm/resources/accordion-menu/css/font-awesome.css", "CSS", 0, 0, 0, 0, 1666, 0, 9, 1, 1676
"/Users/Emmanuel/Sites/ngm/resources/accordion-menu/css/fonts/fontawesome-webfont.svg", "XML", 0, 0, 0, 0, 0, 520, 0, 0, 520
"/Users/Emmanuel/Sites/ngm/resources/accordion-menu/css/jquery-accordion-menu.css", "CSS", 0, 0, 0, 0, 253, 0, 28, 40, 321
"/Users/Emmanuel/Sites/ngm/resources/accordion-menu/js/jquery-1.11.1.min.js", "JavaScript", 0, 3, 0, 0, 0, 0, 1, 1, 5
"/Users/Emmanuel/Sites/ngm/resources/accordion-menu/js/jquery-accordion-menu.js", "JavaScript", 0, 82, 0, 0, 0, 0, 5, 19, 106
"/Users/Emmanuel/Sites/ngm/resources/css/animate.css", "CSS", 0, 0, 0, 0, 2817, 0, 16, 470, 3303
"/Users/Emmanuel/Sites/ngm/resources/css/app.css", "CSS", 0, 0, 0, 0, 3, 0, 0, 0, 3
"/Users/Emmanuel/Sites/ngm/resources/css/bootstrap.css", "CSS", 0, 0, 0, 0, 8294, 0, 8, 1009, 9311
"/Users/Emmanuel/Sites/ngm/resources/css/colors/color1.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/Emmanuel/Sites/ngm/resources/css/colors/color2.css", "CSS", 0, 0, 0, 0, 108, 0, 6, 6, 120
"/Users/Emmanuel/Sites/ngm/resources/css/colors/color3.css", "CSS", 0, 0, 0, 0, 108, 0, 6, 6, 120
"/Users/Emmanuel/Sites/ngm/resources/css/colors/color4.css", "CSS", 0, 0, 0, 0, 108, 0, 6, 6, 120
"/Users/Emmanuel/Sites/ngm/resources/css/custom.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/Emmanuel/Sites/ngm/resources/css/flexslider.css", "CSS", 0, 0, 0, 0, 240, 0, 26, 1, 267
"/Users/Emmanuel/Sites/ngm/resources/css/font-awesome.css", "CSS", 0, 0, 0, 0, 2189, 0, 10, 673, 2872
"/Users/Emmanuel/Sites/ngm/resources/css/jquery-ui.css", "CSS", 0, 0, 0, 0, 1222, 0, 48, 43, 1313
"/Users/Emmanuel/Sites/ngm/resources/css/magnific-popup.css", "CSS", 0, 0, 0, 0, 320, 0, 6, 40, 366
"/Users/Emmanuel/Sites/ngm/resources/css/owl.carousel.css", "CSS", 0, 0, 0, 0, 132, 0, 23, 17, 172
"/Users/Emmanuel/Sites/ngm/resources/css/responsive.css", "CSS", 0, 0, 0, 0, 507, 0, 5, 140, 652
"/Users/Emmanuel/Sites/ngm/resources/css/shortcodes.css", "CSS", 0, 0, 0, 0, 2184, 0, 140, 495, 2819
"/Users/Emmanuel/Sites/ngm/resources/css/style.css", "CSS", 0, 0, 0, 0, 2521, 0, 110, 490, 3121
"/Users/Emmanuel/Sites/ngm/resources/css/woocommerce.css", "CSS", 0, 0, 0, 0, 322, 0, 18, 49, 389
"/Users/Emmanuel/Sites/ngm/resources/fonts/fontawesome-webfont.svg", "XML", 0, 0, 0, 0, 0, 685, 0, 0, 685
"/Users/Emmanuel/Sites/ngm/resources/img/about-hero.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"/Users/Emmanuel/Sites/ngm/resources/javascript/bootstrap.min.js", "JavaScript", 0, 2, 0, 0, 0, 0, 5, 0, 7
"/Users/Emmanuel/Sites/ngm/resources/javascript/equalize.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 8, 0, 9
"/Users/Emmanuel/Sites/ngm/resources/javascript/gmap3.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 12, 0, 13
"/Users/Emmanuel/Sites/ngm/resources/javascript/jquery.flexslider-min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 4, 0, 5
"/Users/Emmanuel/Sites/ngm/resources/javascript/jquery.gomap-1.3.2.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 8, 1, 10
"/Users/Emmanuel/Sites/ngm/resources/javascript/jquery.isotope.min.js", "JavaScript", 0, 2, 0, 0, 0, 0, 5, 1, 8
"/Users/Emmanuel/Sites/ngm/resources/javascript/jquery.min.js", "JavaScript", 0, 4, 0, 0, 0, 0, 1, 0, 5
"/Users/Emmanuel/Sites/ngm/resources/javascript/magnific.popup.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 3, 0, 4
"/Users/Emmanuel/Sites/ngm/resources/javascript/owl.carousel.min.js", "JavaScript", 0, 2, 0, 0, 0, 0, 5, 0, 7
"/Users/Emmanuel/Sites/ngm/resources/javascript/tether.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/Emmanuel/Sites/ngm/resources/js/app.js", "JavaScript", 0, 4, 0, 0, 0, 0, 11, 2, 17
"/Users/Emmanuel/Sites/ngm/resources/js/bootstrap.js", "JavaScript", 0, 3, 0, 0, 0, 0, 23, 7, 33
"/Users/Emmanuel/Sites/ngm/resources/js/images-loaded.js", "JavaScript", 0, 1, 0, 0, 0, 0, 5, 2, 8
"/Users/Emmanuel/Sites/ngm/resources/js/jquery-countTo.js", "JavaScript", 0, 60, 0, 0, 0, 0, 6, 15, 81
"/Users/Emmanuel/Sites/ngm/resources/js/jquery-ui.js", "JavaScript", 0, 13563, 0, 0, 0, 0, 2075, 3068, 18706
"/Users/Emmanuel/Sites/ngm/resources/js/jquery-waypoints.js", "JavaScript", 0, 1, 0, 0, 0, 0, 7, 0, 8
"/Users/Emmanuel/Sites/ngm/resources/js/jquery.cookie.js", "JavaScript", 0, 1, 0, 0, 0, 0, 7, 1, 9
"/Users/Emmanuel/Sites/ngm/resources/js/jquery.countdown.js", "JavaScript", 0, 225, 0, 0, 0, 0, 21, 0, 246
"/Users/Emmanuel/Sites/ngm/resources/js/jquery.easing.js", "JavaScript", 0, 132, 0, 0, 0, 0, 5, 2, 139
"/Users/Emmanuel/Sites/ngm/resources/js/jquery.hoverdir.js", "JavaScript", 0, 199, 0, 0, 0, 0, 79, 20, 298
"/Users/Emmanuel/Sites/ngm/resources/js/main.js", "JavaScript", 0, 698, 0, 0, 0, 0, 31, 107, 836
"/Users/Emmanuel/Sites/ngm/resources/js/parallax.js", "JavaScript", 0, 42, 0, 0, 0, 0, 16, 14, 72
"/Users/Emmanuel/Sites/ngm/resources/js/rev-slider.js", "JavaScript", 0, 402, 0, 0, 0, 0, 5, 10, 417
"/Users/Emmanuel/Sites/ngm/resources/js/switcher.js", "JavaScript", 0, 108, 0, 0, 0, 0, 1, 12, 121
"/Users/Emmanuel/Sites/ngm/resources/rev-slider/css/layers.css", "CSS", 0, 0, 0, 0, 4715, 0, 13, 188, 4916
"/Users/Emmanuel/Sites/ngm/resources/rev-slider/css/navigation.css", "CSS", 0, 0, 0, 0, 2241, 0, 229, 383, 2853
"/Users/Emmanuel/Sites/ngm/resources/rev-slider/css/settings.css", "CSS", 0, 0, 0, 0, 937, 0, 83, 242, 1262
"/Users/Emmanuel/Sites/ngm/resources/rev-slider/fonts/revicons/revicons90c6.svg", "XML", 0, 0, 0, 0, 0, 54, 0, 0, 54
"/Users/Emmanuel/Sites/ngm/resources/rev-slider/js/extensions/revolution.extension.actions.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 6, 0, 7
"/Users/Emmanuel/Sites/ngm/resources/rev-slider/js/extensions/revolution.extension.carousel.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 6, 0, 7
"/Users/Emmanuel/Sites/ngm/resources/rev-slider/js/extensions/revolution.extension.kenburn.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 6, 0, 7
"/Users/Emmanuel/Sites/ngm/resources/rev-slider/js/extensions/revolution.extension.layeranimation.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 6, 0, 7
"/Users/Emmanuel/Sites/ngm/resources/rev-slider/js/extensions/revolution.extension.migration.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 6, 0, 7
"/Users/Emmanuel/Sites/ngm/resources/rev-slider/js/extensions/revolution.extension.navigation.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 6, 0, 7
"/Users/Emmanuel/Sites/ngm/resources/rev-slider/js/extensions/revolution.extension.parallax.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 6, 0, 7
"/Users/Emmanuel/Sites/ngm/resources/rev-slider/js/extensions/revolution.extension.slideanims.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 6, 0, 7
"/Users/Emmanuel/Sites/ngm/resources/rev-slider/js/extensions/revolution.extension.video.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 6, 0, 7
"/Users/Emmanuel/Sites/ngm/resources/rev-slider/js/jquery.themepunch.revolution.min.js", "JavaScript", 0, 2, 0, 0, 0, 0, 6, 0, 8
"/Users/Emmanuel/Sites/ngm/resources/rev-slider/js/jquery.themepunch.tools.min.js", "JavaScript", 0, 42, 0, 0, 0, 0, 73, 25, 140
"/Users/Emmanuel/Sites/ngm/resources/templatemo/templatemo.js", "JavaScript", 0, 41, 0, 0, 0, 0, 11, 6, 58
"/Users/Emmanuel/Sites/ngm/resources/templatemo/templatemo.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/Emmanuel/Sites/ngm/resources/views/admin/blog_category/blog_category_add.blade.php", "PHP", 0, 0, 55, 0, 0, 0, 0, 24, 79
"/Users/Emmanuel/Sites/ngm/resources/views/admin/blog_category/blog_category_all.blade.php", "PHP", 0, 0, 45, 0, 0, 0, 0, 25, 70
"/Users/Emmanuel/Sites/ngm/resources/views/admin/blog_category/blog_category_edit.blade.php", "PHP", 0, 0, 31, 0, 0, 0, 0, 20, 51
"/Users/Emmanuel/Sites/ngm/resources/views/admin/calendar.blade.php", "PHP", 0, 0, 113, 0, 0, 0, 0, 12, 125
"/Users/Emmanuel/Sites/ngm/resources/views/admin/index.blade.php", "PHP", 0, 0, 403, 0, 0, 0, 0, 17, 420
"/Users/Emmanuel/Sites/ngm/resources/views/admin/main_master.blade.php", "PHP", 0, 0, 696, 0, 0, 0, 0, 90, 786
"/Users/Emmanuel/Sites/ngm/resources/views/auth/confirm-password.blade.php", "PHP", 0, 0, 22, 0, 0, 0, 0, 6, 28
"/Users/Emmanuel/Sites/ngm/resources/views/auth/forgot-password.blade.php", "PHP", 0, 0, 21, 0, 0, 0, 0, 5, 26
"/Users/Emmanuel/Sites/ngm/resources/views/auth/login.blade.php", "PHP", 0, 0, 39, 0, 0, 0, 0, 9, 48
"/Users/Emmanuel/Sites/ngm/resources/views/auth/register.blade.php", "PHP", 0, 0, 42, 0, 0, 0, 0, 11, 53
"/Users/Emmanuel/Sites/ngm/resources/views/auth/reset-password.blade.php", "PHP", 0, 0, 32, 0, 0, 0, 0, 8, 40
"/Users/Emmanuel/Sites/ngm/resources/views/auth/verify-email.blade.php", "PHP", 0, 0, 26, 0, 0, 0, 0, 6, 32
"/Users/Emmanuel/Sites/ngm/resources/views/components/application-logo.blade.php", "PHP", 0, 0, 3, 0, 0, 0, 0, 1, 4
